Income,Kidhome,Teenhome,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,Complain,Response,Days,Age,Family_Size,Money_Spent,Essential_Share,Luxury_Share,Education_Basic,Education_Graduation,Education_Master,Education_PhD,Has_Partner_Single,Has_Kids_1,cluster,Cluster,Total_Promos
84618.0,0,0,96,684,100,801,21,66,0,1,6,9,10,2,0,0,1,0,0,0,0,32745600000000000,60,2,1672,0.5514354066985646,0.0,0,0,0,1,0,0,1,1,1
10979.0,0,0,34,8,4,10,2,2,4,2,3,0,3,5,0,0,0,0,0,0,0,17107200000000000,36,1,30,0.5333333333333333,0.13333333333333333,0,0,1,0,1,0,2,2,0
38620.0,0,0,56,112,17,44,34,22,89,1,2,5,3,3,0,0,0,0,0,0,0,34214400000000000,62,2,318,0.29874213836477986,0.279874213836478,0,0,1,0,0,0,2,2,0
40548.0,0,1,31,110,0,5,2,0,3,2,2,1,4,5,0,1,0,0,0,0,0,67996800000000000,55,3,120,0.058333333333333334,0.025,0,1,0,0,0,1,0,0,1
46610.0,0,2,8,96,12,96,33,22,43,6,4,1,6,6,0,0,0,0,0,0,1,66355200000000000,73,3,302,0.46688741721854304,0.1423841059602649,0,0,0,1,1,1,0,0,0
68657.0,0,0,4,482,34,471,119,68,22,1,3,5,9,7,0,0,0,0,0,0,0,56505600000000000,79,2,1196,0.5217391304347826,0.01839464882943144,0,0,1,0,0,0,1,1,0
49389.0,1,1,55,40,0,19,2,1,3,1,2,0,3,7,0,0,0,0,0,0,0,40089600000000000,74,3,65,0.3230769230769231,0.046153846153846156,0,0,1,0,1,1,2,2,0
67353.0,0,1,37,702,17,151,0,8,35,5,5,6,12,2,0,0,0,0,0,0,0,29376000000000000,55,3,913,0.18400876232201532,0.038335158817086525,0,0,0,1,0,1,0,0,0
23718.0,1,0,76,6,3,14,15,7,36,3,3,1,2,7,0,0,0,0,0,0,0,57456000000000000,49,3,81,0.3950617283950617,0.4444444444444444,0,0,0,0,0,1,2,2,0
42429.0,0,1,99,55,0,6,2,0,4,2,1,1,3,5,0,0,0,0,0,0,0,2937600000000000,52,2,67,0.11940298507462686,0.05970149253731343,0,1,0,0,1,1,2,2,0
48948.0,0,0,53,437,8,206,160,49,42,2,7,10,5,6,1,0,0,0,0,0,1,60739200000000000,82,1,902,0.4146341463414634,0.04656319290465632,0,0,0,1,1,0,1,1,1
80011.0,0,1,3,421,76,536,82,178,102,2,8,6,5,4,0,0,0,0,0,0,0,50630400000000000,45,3,1395,0.4974910394265233,0.07311827956989247,0,1,0,0,0,1,1,1,0
20559.0,1,0,88,13,1,29,3,0,7,2,2,0,3,8,0,0,0,0,0,0,0,31795200000000000,40,3,53,0.6226415094339622,0.1320754716981132,0,0,1,0,0,1,2,2,0
21994.0,0,1,4,9,0,6,3,1,3,1,0,0,3,5,0,0,0,0,0,0,0,61516800000000000,68,3,22,0.4090909090909091,0.13636363636363635,0,1,0,0,0,1,2,2,0
7500.0,1,0,19,3,1,10,3,2,12,3,2,0,3,5,0,0,0,0,0,0,0,57369600000000000,50,3,31,0.45161290322580644,0.3870967741935484,0,0,1,0,0,1,2,2,0
79941.0,0,0,72,123,164,266,227,30,174,1,2,4,9,1,0,0,0,0,0,0,0,13910400000000000,49,1,984,0.6676829268292683,0.17682926829268292,0,1,0,0,1,0,1,1,0
7500.0,0,0,24,3,18,14,15,22,50,3,3,1,3,9,0,0,0,0,0,0,1,70502400000000000,29,2,122,0.38524590163934425,0.4098360655737705,0,0,0,0,0,0,2,2,0
41728.0,1,0,92,13,6,15,3,5,13,1,2,0,2,10,0,0,0,0,0,0,0,48470400000000000,57,3,55,0.43636363636363634,0.23636363636363636,0,1,0,0,0,1,2,2,0
72550.0,1,1,39,826,50,317,50,38,38,9,5,2,12,8,0,0,0,0,0,0,0,73180800000000000,71,4,1319,0.3161485974222896,0.02880970432145565,0,0,0,1,0,1,0,0,0
65486.0,0,1,29,245,19,125,37,67,14,1,4,2,10,2,0,0,0,0,0,0,0,86400000000000,68,2,507,0.35700197238658776,0.027613412228796843,0,1,0,0,1,1,0,0,0
79143.0,0,0,2,650,37,780,27,167,32,1,6,9,13,3,0,0,0,0,0,0,0,65491200000000000,61,2,1693,0.4985233313644418,0.018901358535144713,0,0,1,0,0,0,1,1,0
35790.0,1,0,54,12,6,20,30,1,3,2,2,0,3,7,0,0,0,0,0,0,0,58147200000000000,48,2,72,0.7777777777777778,0.041666666666666664,0,1,0,0,1,1,2,2,0
82582.0,0,0,54,510,120,550,156,40,241,1,4,9,7,1,1,0,0,1,0,0,1,13219200000000000,48,1,1617,0.5108225108225108,0.14904143475572046,0,1,0,0,1,0,1,1,2
66373.0,1,1,57,328,9,124,12,24,109,7,4,2,10,3,0,0,0,0,0,0,0,31536000000000000,47,4,606,0.23927392739273928,0.17986798679867988,0,1,0,0,0,1,0,0,0
82384.0,0,0,55,984,51,432,180,120,190,1,3,10,13,1,0,0,1,0,0,0,1,64540800000000000,70,2,1957,0.33878385283597345,0.0970873786407767,0,0,1,0,0,0,1,1,1
70287.0,0,0,30,295,35,482,121,120,40,1,5,5,10,3,0,0,0,0,0,0,1,57888000000000000,59,1,1093,0.5837145471180238,0.036596523330283626,0,1,0,0,1,0,1,1,0
27938.0,1,0,31,13,0,8,2,1,5,1,1,0,4,3,0,0,0,0,0,0,0,19180800000000000,37,2,29,0.3448275862068966,0.1724137931034483,0,1,0,0,1,1,2,2,0
55954.0,0,1,63,447,0,28,0,0,43,3,8,2,6,7,0,0,0,0,0,0,0,24019200000000000,57,3,518,0.05405405405405406,0.08301158301158301,0,0,0,1,0,1,0,0,0
75777.0,0,0,12,712,26,538,69,13,80,1,3,6,11,1,0,1,1,0,0,0,1,52531200000000000,43,1,1438,0.44019471488178025,0.055632823365785816,0,0,1,0,1,0,1,1,2
66653.0,1,1,18,452,18,102,16,18,6,4,4,2,12,3,0,0,0,0,0,0,0,76032000000000000,50,4,612,0.2222222222222222,0.00980392156862745,0,1,0,0,0,1,0,0,0
61823.0,0,1,26,523,7,134,37,14,169,4,8,2,10,7,0,0,0,0,0,0,0,56678400000000000,73,2,884,0.20135746606334842,0.19117647058823528,0,1,0,0,1,1,0,0,0
67680.0,0,1,8,546,0,48,0,6,6,1,7,3,8,5,0,0,0,0,0,0,0,34128000000000000,74,2,606,0.07920792079207921,0.009900990099009901,0,0,0,1,1,1,0,0,0
70666.0,0,0,29,398,40,367,119,122,30,1,7,4,4,4,0,0,0,0,0,0,0,46828800000000000,77,2,1076,0.4888475836431227,0.027881040892193308,0,1,0,0,0,0,1,1,0
25721.0,1,0,75,1,3,6,3,6,15,1,1,1,2,7,0,0,0,0,0,0,1,48729600000000000,54,3,34,0.35294117647058826,0.4411764705882353,0,1,0,0,0,1,2,2,0
32474.0,1,1,0,10,0,1,0,0,0,1,1,0,2,7,0,0,0,0,0,0,0,2678400000000000,58,4,11,0.09090909090909091,0.0,0,1,0,0,0,1,2,2,0
88194.0,0,1,19,688,14,309,201,24,38,1,11,10,10,5,1,0,0,1,0,0,1,22636800000000000,46,2,1274,0.41130298273155413,0.029827315541601257,0,0,0,0,1,1,1,1,2
69096.0,0,1,4,247,49,159,7,82,109,1,5,2,10,4,0,0,0,0,0,0,0,37584000000000000,67,3,653,0.32924961715160794,0.1669218989280245,0,1,0,0,0,1,0,0,0
74854.0,1,2,90,856,59,487,58,29,73,7,2,5,5,5,0,0,0,0,0,0,0,42249600000000000,55,5,1562,0.3866837387964149,0.04673495518565941,0,1,0,0,0,1,0,0,0
66991.0,0,0,1,496,36,460,189,60,12,3,4,8,6,3,0,0,0,0,0,0,0,65404800000000000,71,2,1253,0.5466879489225858,0.009577015163607342,0,0,1,0,0,0,1,1,0
65031.0,0,1,29,258,107,291,84,37,86,4,10,3,13,7,0,0,0,0,0,0,0,54345600000000000,66,3,863,0.5585168018539977,0.0996523754345307,0,1,0,0,0,1,0,0,0
60631.0,1,1,88,565,6,65,0,6,19,5,9,2,8,7,0,1,0,0,0,0,0,50198400000000000,50,4,661,0.10741301059001512,0.028744326777609682,0,0,0,1,0,1,0,0,1
28332.0,0,0,58,14,10,13,4,15,9,1,2,1,4,2,0,0,0,0,0,0,0,19008000000000000,73,2,65,0.4153846153846154,0.13846153846153847,0,1,0,0,0,0,2,2,0
40246.0,1,0,68,2,1,6,2,1,1,1,1,0,2,6,0,0,0,0,0,0,0,61948800000000000,48,2,13,0.6923076923076923,0.07692307692307693,0,1,0,0,1,1,2,2,0
75251.0,0,0,34,721,111,925,97,18,18,1,7,6,5,5,0,0,0,0,0,0,1,71798400000000000,53,2,1890,0.5994708994708995,0.009523809523809525,0,0,1,0,0,0,1,1,0
75825.0,0,0,40,1032,105,779,137,105,51,0,5,8,9,4,1,0,0,0,0,0,1,62726400000000000,49,1,2209,0.4622000905387053,0.023087369850611137,0,1,0,0,1,0,1,1,1
26326.0,0,0,12,1,0,5,0,3,9,1,0,0,3,3,0,0,0,0,0,1,0,52358400000000000,49,2,18,0.2777777777777778,0.5,0,0,0,0,0,0,2,2,0
56046.0,0,0,9,577,0,64,0,0,51,2,10,1,8,8,1,0,0,0,0,0,1,58147200000000000,60,2,692,0.09248554913294797,0.07369942196531792,0,1,0,0,0,0,0,0,1
29760.0,1,0,87,64,4,68,7,5,17,4,3,1,4,8,0,0,0,0,0,0,0,71625600000000000,40,2,165,0.47878787878787876,0.10303030303030303,0,1,0,0,1,1,2,2,0
26304.0,1,0,5,4,1,5,2,0,4,1,1,0,2,7,0,0,0,0,0,0,0,45878400000000000,56,3,16,0.5,0.25,0,1,0,0,0,1,2,2,0
23559.0,1,0,87,25,5,19,7,0,23,3,3,0,3,7,0,0,0,0,0,0,0,55209600000000000,52,3,79,0.3924050632911392,0.2911392405063291,0,0,0,0,0,1,2,2,0
38620.0,0,0,56,112,17,44,34,22,89,1,2,5,3,3,0,0,0,0,0,0,0,34214400000000000,62,2,318,0.29874213836477986,0.279874213836478,0,0,1,0,0,0,2,2,0
81361.0,0,0,18,163,23,424,27,65,76,1,3,10,13,1,0,0,0,0,0,0,0,24537600000000000,38,1,778,0.609254498714653,0.09768637532133675,0,1,0,0,1,0,1,1,0
29440.0,1,1,95,17,8,14,10,4,3,2,1,0,4,7,0,0,0,0,0,0,0,33955200000000000,65,4,56,0.5714285714285714,0.05357142857142857,0,1,0,0,0,1,2,2,0
36138.0,1,1,48,130,0,16,0,0,5,5,3,1,4,7,0,1,0,0,0,0,0,43891200000000000,55,4,151,0.10596026490066225,0.033112582781456956,0,0,1,0,0,1,2,2,1
50388.0,0,1,3,292,6,37,0,3,34,4,6,1,6,7,0,1,0,1,0,0,1,16588800000000000,68,2,372,0.11559139784946236,0.0913978494623656,0,1,0,0,1,1,0,0,2
79593.0,0,0,70,350,60,568,110,133,145,1,5,6,7,2,0,0,1,0,0,0,0,86400000000000,52,2,1366,0.5402635431918009,0.1061493411420205,0,1,0,0,0,0,1,1,1
54178.0,0,1,79,135,9,39,4,0,7,1,2,2,5,2,0,0,0,0,0,0,0,27561600000000000,58,3,194,0.26804123711340205,0.03608247422680412,0,1,0,0,0,1,2,2,0
42394.0,1,0,69,15,2,10,0,1,4,1,1,0,3,7,0,0,0,0,0,0,0,22291200000000000,53,2,32,0.375,0.125,0,0,1,0,1,1,2,2,0
23626.0,1,0,84,27,2,14,0,0,0,3,3,1,3,5,0,0,0,0,0,0,0,16934400000000000,55,3,43,0.37209302325581395,0.0,0,0,0,1,0,1,2,2,0
30096.0,1,0,30,5,3,11,12,5,9,1,2,0,3,6,0,0,0,0,0,0,0,17107200000000000,42,3,45,0.5777777777777777,0.2,0,1,0,0,0,1,2,2,0
47916.0,0,1,72,505,0,26,0,0,75,5,7,4,6,6,0,1,0,0,0,0,0,64281600000000000,65,2,606,0.0429042904290429,0.12376237623762376,0,1,0,0,1,1,0,0,1
51813.0,1,1,37,51,2,7,0,1,2,2,2,0,3,7,0,0,0,0,0,0,0,34300800000000000,53,3,63,0.14285714285714285,0.031746031746031744,0,1,0,0,1,1,2,2,0
78497.0,0,0,44,207,26,447,75,0,223,1,5,7,12,2,0,0,0,1,0,0,0,59875200000000000,74,2,978,0.5603271983640081,0.2280163599182004,0,0,0,0,0,0,1,1,1
50150.0,0,0,32,135,46,92,65,61,11,2,5,2,7,5,0,0,0,0,0,0,0,46137600000000000,42,2,410,0.4951219512195122,0.026829268292682926,0,0,0,1,0,0,0,0,0
47823.0,0,1,0,53,1,5,2,1,10,2,2,0,3,8,0,0,0,0,0,0,0,43286400000000000,65,2,72,0.1111111111111111,0.1388888888888889,0,0,0,0,1,1,2,2,0
34554.0,0,1,43,41,1,6,2,0,5,2,2,0,3,6,0,0,0,0,0,0,0,21686400000000000,66,2,55,0.16363636363636364,0.09090909090909091,0,0,0,1,1,1,2,2,0
85693.0,0,1,59,386,172,183,185,132,111,2,9,5,11,5,0,0,0,0,0,0,0,51408000000000000,46,3,1169,0.4619332763045338,0.0949529512403764,0,1,0,0,0,1,1,1,0
65846.0,0,0,68,562,81,276,80,40,81,1,6,3,6,4,0,0,0,0,0,0,0,49075200000000000,80,2,1120,0.39017857142857143,0.07232142857142858,0,0,0,1,0,0,1,1,0
87195.0,0,0,35,217,76,690,50,26,38,1,3,11,5,1,0,0,0,0,0,0,1,10627200000000000,66,2,1097,0.7438468550592525,0.03463992707383774,0,1,0,0,0,0,1,1,0
24594.0,1,0,94,1,3,6,10,0,9,1,1,0,3,5,0,0,0,0,0,0,0,36288000000000000,46,3,29,0.6551724137931034,0.3103448275862069,1,0,0,0,0,1,2,2,0
49096.0,1,1,15,144,1,32,2,1,7,4,4,1,4,7,0,0,0,0,0,0,0,37843200000000000,61,4,187,0.18716577540106952,0.0374331550802139,0,1,0,0,0,1,2,2,0
52413.0,0,2,56,295,106,271,75,98,65,4,6,4,12,6,0,0,0,0,0,0,0,58060800000000000,56,4,910,0.4967032967032967,0.07142857142857142,0,1,0,0,0,1,0,0,0
38557.0,1,0,17,76,3,31,4,4,27,2,3,1,3,7,0,0,0,0,0,0,0,61948800000000000,47,2,145,0.2620689655172414,0.18620689655172415,0,1,0,0,1,1,2,2,0
89058.0,0,0,18,454,194,106,31,22,43,1,5,4,4,2,0,0,0,0,0,0,0,75772800000000000,65,2,850,0.38941176470588235,0.05058823529411765,0,0,1,0,0,0,1,1,0
77298.0,0,1,46,425,115,292,23,35,79,1,6,6,11,3,0,0,0,0,0,0,0,57283200000000000,46,3,969,0.4437564499484004,0.08152734778121776,0,1,0,0,0,1,0,0,0
68126.0,0,0,40,1332,17,311,23,51,86,1,7,4,5,9,0,1,0,0,0,0,1,67910400000000000,34,1,1820,0.19285714285714287,0.04725274725274725,0,0,0,1,1,0,1,1,1
57288.0,0,1,27,527,0,21,0,0,60,3,8,1,8,6,0,1,0,0,0,0,0,14169600000000000,62,3,608,0.03453947368421053,0.09868421052631579,0,0,1,0,0,1,0,0,1
86037.0,0,0,95,490,44,125,29,20,22,1,6,7,11,3,0,1,1,0,0,0,1,58147200000000000,34,1,730,0.27123287671232876,0.030136986301369864,0,1,0,0,1,0,1,1,2
43974.0,1,0,19,378,0,101,0,0,72,5,6,4,6,7,0,0,0,0,0,0,0,62553600000000000,45,3,551,0.18330308529945555,0.1306715063520871,0,0,0,1,0,1,0,0,0
50785.0,1,1,27,64,1,21,0,1,27,2,2,1,3,6,0,0,0,0,0,0,0,36547200000000000,63,3,114,0.19298245614035087,0.23684210526315788,0,1,0,0,1,1,2,2,0
90765.0,0,0,25,547,99,812,151,82,33,0,4,6,5,1,0,0,1,1,0,0,0,27302400000000000,55,2,1724,0.6160092807424594,0.0191415313225058,0,1,0,0,0,0,1,1,2
36550.0,1,0,74,47,90,94,123,103,120,5,9,1,5,9,0,0,0,0,0,0,0,56592000000000000,47,3,577,0.5320623916811091,0.20797227036395147,0,0,0,0,0,1,0,0,0
30753.0,1,1,85,12,5,25,0,9,30,2,1,1,3,5,0,0,0,0,0,0,0,34041600000000000,58,4,81,0.37037037037037035,0.37037037037037035,0,0,0,0,0,1,2,2,0
21918.0,1,0,37,1,6,7,11,5,3,2,2,0,3,6,0,0,0,0,0,0,0,33436800000000000,56,3,33,0.7272727272727273,0.09090909090909091,0,1,0,0,0,1,2,2,0
56129.0,0,1,65,320,48,133,39,72,48,4,6,2,10,4,0,0,0,0,0,0,0,46137600000000000,72,3,660,0.3333333333333333,0.07272727272727272,0,0,1,0,0,1,0,0,0
32557.0,1,0,13,34,3,29,0,4,10,3,2,1,3,5,0,0,0,0,0,0,1,24624000000000000,58,2,80,0.4,0.125,0,0,1,0,1,1,2,2,0
19510.0,2,0,63,9,0,7,3,4,7,2,1,0,3,7,0,0,0,0,0,0,0,52358400000000000,40,4,30,0.3333333333333333,0.23333333333333334,0,0,1,0,0,1,2,2,0
30992.0,1,0,83,17,0,14,7,3,2,1,1,0,3,7,0,0,0,0,0,0,0,51235200000000000,49,2,43,0.4883720930232558,0.046511627906976744,0,1,0,0,1,1,2,2,0
101970.0,0,0,69,722,27,102,44,72,168,0,6,8,13,2,0,1,1,1,0,0,1,31795200000000000,42,1,1135,0.1524229074889868,0.14801762114537445,0,1,0,0,1,0,1,1,3
71488.0,0,0,87,162,33,124,40,28,172,2,3,4,7,1,0,0,0,0,0,0,0,56678400000000000,60,2,559,0.35241502683363146,0.3076923076923077,0,0,0,0,0,0,1,1,0
79607.0,0,0,37,450,133,951,173,0,216,1,3,6,6,1,0,0,0,0,0,0,1,51321600000000000,41,1,1923,0.6536661466458659,0.11232449297971919,0,1,0,0,1,0,1,1,0
54348.0,1,1,51,70,0,16,0,0,4,2,2,0,4,6,0,0,0,0,0,0,0,10540800000000000,72,4,90,0.17777777777777778,0.044444444444444446,0,0,1,0,0,1,2,2,0
77376.0,1,1,72,492,19,110,16,12,12,4,6,3,10,4,0,0,0,0,0,0,0,5356800000000000,69,4,661,0.21936459909228442,0.018154311649016642,0,0,0,1,0,1,0,0,0
62998.0,0,1,10,120,58,73,65,89,58,5,5,4,5,5,0,0,0,0,0,0,0,37324800000000000,73,3,463,0.42332613390928725,0.12526997840172785,0,1,0,0,0,1,0,0,0
61331.0,1,1,42,534,5,47,0,5,41,5,11,1,6,8,0,0,0,0,0,0,0,37065600000000000,67,3,632,0.08227848101265822,0.06487341772151899,0,0,1,0,1,1,0,0,0
73448.0,0,0,10,236,106,189,23,41,130,1,7,2,9,4,0,0,0,0,0,0,0,5616000000000000,56,2,725,0.4386206896551724,0.1793103448275862,0,1,0,0,0,0,1,1,0
41551.0,1,1,51,220,0,33,3,0,23,5,5,1,5,8,0,0,0,0,0,0,0,41385600000000000,61,4,279,0.12903225806451613,0.08243727598566308,0,0,0,1,0,1,0,0,0
62981.0,0,0,21,796,14,590,38,44,0,1,4,5,13,3,0,1,0,0,0,0,0,54345600000000000,58,2,1482,0.4331983805668016,0.0,0,0,0,1,0,0,1,1,1
9548.0,1,0,31,0,1,3,10,6,9,2,1,0,3,8,0,0,0,0,0,0,0,73440000000000000,49,2,29,0.4827586206896552,0.3103448275862069,1,0,0,0,1,1,2,2,0
33762.0,2,1,61,53,1,34,2,0,16,3,2,2,2,8,0,0,0,0,0,0,0,44668800000000000,66,5,106,0.3490566037735849,0.1509433962264151,0,0,0,1,0,1,2,2,0
35860.0,1,1,37,15,0,8,4,2,20,2,1,1,2,5,1,0,0,0,0,0,1,17366400000000000,52,3,49,0.24489795918367346,0.40816326530612246,0,0,0,1,1,1,2,2,1
36921.0,1,1,74,17,1,12,3,1,4,2,2,0,3,7,0,0,0,0,0,0,0,42854400000000000,60,3,38,0.42105263157894735,0.10526315789473684,0,0,0,1,1,1,2,2,0
92859.0,0,0,46,962,61,921,52,61,20,1,5,4,12,2,0,0,0,0,0,0,0,67219200000000000,33,1,2077,0.4978334135772749,0.009629272989889264,0,0,1,0,1,0,1,1,0
65104.0,0,1,4,738,0,232,13,20,50,2,3,5,7,7,0,0,0,0,0,0,1,33436800000000000,49,3,1053,0.23266856600189934,0.04748338081671415,0,0,1,0,0,1,0,0,0
86111.0,0,0,73,399,28,756,36,40,126,1,5,7,10,2,0,0,0,0,0,0,0,51494400000000000,63,2,1385,0.592057761732852,0.09097472924187726,0,1,0,0,0,0,1,1,0
68352.0,0,1,47,614,16,132,43,33,33,3,8,5,9,6,0,0,0,0,0,0,0,40176000000000000,51,2,871,0.21928817451205512,0.03788748564867968,0,0,0,1,1,1,0,0,0
41883.0,1,0,13,32,34,41,73,16,116,3,4,2,3,7,0,0,0,0,0,0,0,54172800000000000,37,3,312,0.47435897435897434,0.3717948717948718,0,1,0,0,0,1,2,2,0
59809.0,0,2,36,598,16,141,32,41,49,3,3,3,6,8,0,0,0,0,0,0,0,67305600000000000,49,4,877,0.21550741163055873,0.055872291904218926,0,1,0,0,0,1,0,0,0
23957.0,1,0,47,2,1,18,20,11,16,1,2,0,3,6,0,0,0,0,0,0,1,66441600000000000,50,3,68,0.5735294117647058,0.23529411764705882,0,1,0,0,0,1,2,2,0
38547.0,1,0,49,6,1,10,0,1,4,1,1,0,2,8,0,0,0,0,0,1,0,40176000000000000,44,3,22,0.5,0.18181818181818182,0,1,0,0,0,1,2,2,0
35688.0,2,1,94,73,3,90,12,1,32,7,4,1,4,8,0,0,0,0,0,0,0,72230400000000000,52,5,211,0.4976303317535545,0.15165876777251186,0,0,0,0,0,1,2,2,0
49605.0,0,0,65,42,16,29,12,20,8,1,2,1,4,3,0,0,0,0,0,0,0,14515200000000000,59,2,127,0.44881889763779526,0.06299212598425197,0,0,1,0,0,0,2,2,0
59354.0,0,2,59,295,21,78,39,13,13,1,4,4,7,3,0,0,0,0,0,0,0,19526400000000000,72,4,459,0.3006535947712418,0.02832244008714597,0,0,1,0,0,1,0,0,0
